00:00:01.500,00:00:10.000,00:00:16.233,00:00:24.400,00:00:34.000,00:00:48.100,00:00:58.433,00:01:08.333,00:01:15.966,00:01:27.333,00:01:30.766,00:01:34.566,00:01:37.400,00:01:42.100,00:01:47.066
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,45,00:00:01.500,1.5,8.5
2,300,00:00:10.000,10.0,6.23333333333
3,487,00:00:16.233,16.2333333333,8.16666666667
4,732,00:00:24.400,24.4,9.6
5,1020,00:00:34.000,34.0,14.1
6,1443,00:00:48.100,48.1,10.3333333333
7,1753,00:00:58.433,58.4333333333,9.9
8,2050,00:01:08.333,68.3333333333,7.63333333333
9,2279,00:01:15.966,75.9666666667,11.3666666667
10,2620,00:01:27.333,87.3333333333,3.43333333333
11,2723,00:01:30.766,90.7666666667,3.8
12,2837,00:01:34.566,94.5666666667,2.83333333333
13,2922,00:01:37.400,97.4,4.7
14,3063,00:01:42.100,102.1,4.96666666667
15,3212,00:01:47.066,107.066666667,0.1
